,bins,hist,pdf,cdf,cdf_normalized
0,0.0,0,0.0,0.0,0.0
1,1.0,0,0.0,0.0,0.0
2,2.0,0,0.0,0.0,0.0
3,3.0,11,1.3987223307291666e-05,1.3987223307291666e-05,0.09424591064453118
4,4.0,65,8.265177408854167e-05,9.663899739583334e-05,0.6511535644531247
5,5.0,111,0.000141143798828125,0.00023778279622395834,1.6021804809570301
6,6.0,164,0.00020853678385416666,0.000446319580078125,3.007301330566404
7,7.0,261,0.000331878662109375,0.0007781982421875,5.2434997558593714
8,8.0,315,0.000400543212890625,0.001178741455078125,7.942359924316401
9,9.0,431,0.0005480448404947916,0.0017267862955729165,11.635086059570304
10,10.0,537,0.000682830810546875,0.0024096171061197915,16.236000061035146
11,11.0,682,0.0008672078450520834,0.003276824951171875,22.07924652099608
12,12.0,847,0.0010770161946614583,0.004353841145833333,29.336181640624975
13,13.0,912,0.00115966796875,0.005513509114583333,37.15002441406248
14,14.0,1074,0.00136566162109375,0.006879170735677083,46.35185241699216
15,15.0,1350,0.00171661376953125,0.008595784505208332,57.91839599609371
16,16.0,1480,0.0018819173177083333,0.010477701822916666,70.59875488281246
17,17.0,1681,0.0021375020345052085,0.012615203857421875,85.00124359130854
18,18.0,1621,0.0020612080891927085,0.014676411946614584,98.88966369628899
19,19.0,2064,0.00262451171875,0.017300923665364586,116.5736236572265
20,20.0,1835,0.0023333231608072915,0.01963424682617188,132.29555511474604
21,21.0,2048,0.0026041666666666665,0.022238413492838546,149.842430114746
22,22.0,1989,0.002529144287109375,0.02476755777994792,166.88380432128898
23,23.0,1911,0.002429962158203125,0.027197519938151046,183.25688934326163
24,24.0,2258,0.0028711954752604165,0.030068715413411464,202.6030044555663
25,25.0,2129,0.0027071634928385415,0.03277587890625001,220.84387207031241
26,26.0,1748,0.0022226969401041665,0.03499857584635417,235.82040405273423
27,27.0,1776,0.00225830078125,0.03725687662760417,251.03683471679673
28,28.0,1850,0.0023523966471354165,0.039609273274739586,266.88728332519514
29,29.0,1687,0.0021451314290364585,0.041754404703776046,281.34117889404286
30,30.0,1605,0.002040863037109375,0.04379526774088542,295.0925140380858
31,31.0,1661,0.0021120707194010415,0.04590733846028646,309.32364654540993
32,32.0,1355,0.0017229715983072917,0.04763031005859375,320.93302917480446
33,33.0,1360,0.0017293294270833333,0.049359639485677086,332.58525085449196
34,34.0,1189,0.0015118916829427083,0.050871531168619796,342.77237701416
35,35.0,1278,0.00162506103515625,0.052496592203776046,353.7220382690428
36,36.0,1062,0.00135040283203125,0.053846995035807296,362.82105255126936
37,37.0,1027,0.0013058980305989583,0.05515289306640626,371.62019348144514
38,38.0,1052,0.0013376871744791667,0.05649058024088542,380.63352966308577
39,39.0,1084,0.0013783772786458333,0.05786895751953126,389.92103576660134
40,40.0,1013,0.0012880961100260417,0.059157053629557296,398.6002273559568
41,41.0,1029,0.001308441162109375,0.06046549479166667,407.4165039062498
42,42.0,917,0.0011660257975260417,0.06163152058919271,415.2731857299802
43,43.0,933,0.001186370849609375,0.06281789143880209,423.2669525146482
44,44.0,1043,0.0013262430826822917,0.06414413452148439,432.20317840576155
45,45.0,1037,0.0013186136881510417,0.06546274820963544,441.08799743652327
46,46.0,1069,0.0013593037923177083,0.06682205200195314,450.24698638916
47,47.0,942,0.00119781494140625,0.06801986694335939,458.3178634643553
48,48.0,1218,0.00154876708984375,0.06956863403320314,468.7534561157225
49,49.0,1194,0.00151824951171875,0.07108688354492189,478.98342132568337
50,50.0,1116,0.0014190673828125,0.07250595092773439,488.545097351074
51,51.0,1467,0.001865386962890625,0.07437133789062501,501.114074707031
52,52.0,1410,0.00179290771484375,0.07616424560546876,513.1946868896482
