      bins  hist       pdf       cdf  cdf_normalized
100  100.0  5668  0.005067  0.683826     7338.819229
101  101.0  5679  0.005076  0.688902     7393.299455
102  102.0  5452  0.004874  0.693776     7445.602006
103  103.0  5377  0.004806  0.698582     7497.185061
104  104.0  5214  0.004661  0.703243     7547.204412
105  105.0  5152  0.004605  0.707848     7596.628980
106  106.0  4975  0.004447  0.712296     7644.355538
107  107.0  4857  0.004342  0.716637     7690.950088
108  108.0  4590  0.004103  0.720740     7734.983234
109  109.0  4601  0.004113  0.724853     7779.121906
110  110.0  4447  0.003975  0.728828     7821.783213
111  111.0  4320  0.003862  0.732690     7863.226173
112  112.0  4245  0.003795  0.736484     7903.949638
113  113.0  4204  0.003758  0.740242     7944.279778
114  114.0  4061  0.003630  0.743872     7983.238080
115  115.0  3851  0.003442  0.747315     8020.181793
116  116.0  3807  0.003403  0.750718     8056.703402
117  117.0  3762  0.003363  0.754081     8092.793314
118  118.0  3497  0.003126  0.757207     8126.341007
119  119.0  3374  0.003016  0.760223     8158.708726
120  120.0  3290  0.002941  0.763163     8190.270611
121  121.0  3307  0.002956  0.766120     8221.995581
122  122.0  3112  0.002782  0.768901     8251.849861
123  123.0  3060  0.002735  0.771637     8281.205292
124  124.0  3046  0.002723  0.774360     8310.426416
125  125.0  2789  0.002493  0.776853     8337.182068
126  126.0  2751  0.002459  0.779312     8363.573176
127  127.0  2684  0.002399  0.781711     8389.321534
128  128.0  2603  0.002327  0.784038     8414.292836
129  129.0  2510  0.002244  0.786281     8438.371964
130  130.0  2482  0.002219  0.788500     8462.182480
131  131.0  2457  0.002196  0.790696     8485.753163
132  132.0  2315  0.002069  0.792766     8507.961602
133  133.0  2350  0.002101  0.794866     8530.505805
134  134.0  2248  0.002009  0.796876     8552.071494
135  135.0  2166  0.001936  0.798812     8572.850534
136  136.0  2069  0.001849  0.800661     8592.699026
137  137.0  2069  0.001849  0.802511     8612.547518
138  138.0  1989  0.001778  0.804289     8631.628547
139  139.0  1978  0.001768  0.806057     8650.604051
140  140.0  1923  0.001719  0.807776     8669.051925
141  141.0  1907  0.001705  0.809481     8687.346306
142  142.0  1940  0.001734  0.811215     8705.957265
143  143.0  1909  0.001706  0.812921     8724.270832
144  144.0  1904  0.001702  0.814623     8742.536433
145  145.0  1896  0.001695  0.816318     8760.725288
146  146.0  1814  0.001622  0.817940     8778.127494
147  147.0  1878  0.001679  0.819618     8796.143670
148  148.0  1749  0.001563  0.821182     8812.922313
149  149.0  1955  0.001748  0.822929     8831.677172
150  150.0  1832  0.001638  0.824567     8849.252057
151  151.0  1843  0.001647  0.826214     8866.932468
152  152.0  1962  0.001754  0.827968     8885.754479
153  153.0  1979  0.001769  0.829737     8904.739576
154  154.0  1911  0.001708  0.831445     8923.072330
155  155.0  1937  0.001731  0.833177     8941.654510
156  156.0  1970  0.001761  0.834938     8960.553267
157  157.0  2094  0.001872  0.836810     8980.641591
158  158.0  2132  0.001906  0.838715     9001.094460
159  159.0  2190  0.001958  0.840673     9022.103738
160  160.0  2093  0.001871  0.842544     9042.182469
161  161.0  2201  0.001967  0.844511     9063.297274
162  162.0  2167  0.001937  0.846449     9084.085907
163  163.0  2301  0.002057  0.848505     9106.160039
164  164.0  2289  0.002046  0.850552     9128.119052
165  165.0  2253  0.002014  0.852565     9149.732708
166  166.0  2257  0.002018  0.854583     9171.384736
167  167.0  2373  0.002121  0.856704     9194.149584
168  168.0  2380  0.002127  0.858832     9216.981586
169  169.0  2429  0.002171  0.861003     9240.283658
170  170.0  2533  0.002264  0.863267     9264.583431
171  171.0  2409  0.002153  0.865421     9287.693637
172  172.0  2624  0.002346  0.867766     9312.866398
173  173.0  2650  0.002369  0.870135     9338.288585
174  174.0  2517  0.002250  0.872385     9362.434865
175  175.0  2560  0.002288  0.874673     9386.993657
176  176.0  2542  0.002272  0.876946     9411.379769
177  177.0  2561  0.002289  0.879235     9435.948154
178  178.0  2641  0.002361  0.881596     9461.284001
179  179.0  2615  0.002338  0.883933     9486.370423
180  180.0  2531  0.002262  0.886196     9510.651009
181  181.0  2603  0.002327  0.888522     9535.622312
182  182.0  2549  0.002279  0.890801     9560.075577
183  183.0  2647  0.002366  0.893167     9585.468984
184  184.0  2611  0.002334  0.895501     9610.517032
185  185.0  2645  0.002364  0.897865     9635.891252
186  186.0  2623  0.002345  0.900210     9661.054420
187  187.0  2661  0.002379  0.902589     9686.582133
188  188.0  2652  0.002371  0.904959     9712.023506
189  189.0  2701  0.002414  0.907374     9737.934949
190  190.0  2647  0.002366  0.909740     9763.328356
191  191.0  2679  0.002395  0.912135     9789.028748
192  192.0  2613  0.002336  0.914470     9814.095983
193  193.0  2673  0.002389  0.916860     9839.738815
194  194.0  2618  0.002340  0.919200     9864.854016
195  195.0  2590  0.002315  0.921515     9889.700606
196  196.0  2623  0.002345  0.923860     9914.863774
197  197.0  2629  0.002350  0.926210     9940.084502
198  198.0  2611  0.002334  0.928544     9965.132550
199  199.0  2596  0.002321  0.930864     9990.036700
200  200.0  2673  0.002389  0.933254    10015.679532
